fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,sulfur_ratio,quality
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,0.3235294117647059,5
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,0.373134328358209,5
7.8,0.76,0.04000000000000001,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,0.2777777777777778,5
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,0.2833333333333333,6
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,0.3235294117647059,5
7.4,0.66,0.0,1.7999999999999998,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,0.325,5
7.9,0.6,0.060000000000000026,1.6,0.069,15.0,59.0,0.9964,3.3,0.4600000000000001,9.4,0.2542372881355932,5
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,0.7142857142857143,7
7.8,0.58,0.019999999999999962,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,0.5,7
6.7,0.58,0.08000000000000002,1.7999999999999998,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,0.23076923076923078,5
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,0.2711864406779661,5
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,0.3103448275862069,5
8.5,0.28,0.56,1.7999999999999998,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,0.33980582524271846,7
7.9,0.32,0.51,1.7999999999999998,0.34099999999999997,17.0,56.0,0.9969,3.04,1.08,9.2,0.30357142857142855,6
7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.5,0.323943661971831,5
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,0.2702702702702703,5
8.5,0.49,0.10999999999999999,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,0.13432835820895522,5
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,0.525,6
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,0.4782608695652174,5
7.6,0.41,0.24,1.7999999999999998,0.08,3.9999999999999982,11.0,0.9962,3.28,0.59,9.5,0.3636363636363635,5
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,0.4,5
7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.5,9.8,0.5,6
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,0.2073170731707317,5
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,0.13274336283185842,5
5.2,0.32,0.25,1.7999999999999998,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,0.26,5
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,0.2777777777777778,6
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,0.2,6
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,0.43333333333333335,7
